,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
La Sportiva Nucleo High Gore-Tex Surround Light Trail Shoes - Men's,La Sportiva,249.95,0,4.3,32,camping-and-hiking,2020-10-17
Fjallraven Raven Lite Jacket - Men's,Fjallraven,167.93,40,3,1,camping-and-hiking,2020-10-17
Zamberlan 900 Rolle Evo 2 Gore-Tex Hiking Boots - Women's,Zamberlan,239.95,0,5,1,camping-and-hiking,2020-10-17
Recreational Barrel Works Plastic Barrel,Recreational,59.95,0,4.8,9,camping-and-hiking,2020-10-17
MEC Nylon Gaiters - Unisex,MEC,28.95,0,3.8,9,camping-and-hiking,2020-10-17
Arc'teryx Rho LT Zip Neck - Women's,Arc'teryx,119.95,0,4.6,23,camping-and-hiking,2020-10-17
Ritter Sport Dark Whole Hazelnut Chocolate Bar,Ritter Sport,3.95,0,5,1,camping-and-hiking,2020-10-17
Smartwool Trekking Heavy Crew Socks - Unisex,Smartwool,27.95,0,4.9,110,camping-and-hiking,2020-10-17
Wigwam Merino Comfort Hiker 2 Pack Socks - Unisex,Wigwam,33.95,0,3.4,9,camping-and-hiking,2020-10-17
Leatherman Signal Multi-Tool,Leatherman,159.95,0,4.5,12,camping-and-hiking,2020-10-17
Arc'teryx Aerios FL Gore-Tex Light Hiking Shoes - Men's,Arc'teryx,199.95,0,4.1,31,camping-and-hiking,2020-10-17
The North Face Paramount Active Mid-Rise Pants - Women's,The North Face,71.97,20,4.5,2,camping-and-hiking,2020-10-17
Petzl Actik Lamp,Petzl,64.95,0,4,1,camping-and-hiking,2020-10-17
MEC All Day Essentials Merino Lite T-Shirt - Men's,MEC,69.95,0,5,1,camping-and-hiking,2020-10-17
Black Diamond Sprint 225 Headlamp,Black Diamond,54.95,0,5,11,camping-and-hiking,2020-10-17
MEC Rockwall Half Zip Midlayer - Men's,MEC,89.95,0,4,2,camping-and-hiking,2020-10-17
Nikwax TX.Direct Wash-In Waterproofer 300ml,Nikwax,16.95,0,3.7,28,camping-and-hiking,2020-10-17
Darn Tough Light Hiker Light Cushion Micro Crew Socks - Unisex,Darn Tough,27.95,0,3.5,2,camping-and-hiking,2020-10-17
Lowa Renegade Gore-Tex Mid Light Hiking Boots - Men's,Lowa,339.95,0,3.5,2,camping-and-hiking,2020-10-17
MSR PocketRocket 2 Mini Stove Kit,MSR,99.95,0,5,6,camping-and-hiking,2020-10-17
Smartwool Merino 150 Baselayer Long Sleeve Crew - Men's,Smartwool,109.95,0,5,1,camping-and-hiking,2020-10-17
