,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Patagonia Quandary Convertible Pants - Men's,Patagonia,109,0,4.7,3,clothing,2020-10-17
Smartwool Merino 150 Pocket Tee - Men's,Smartwool,99.95,0,0,0,clothing,2020-10-17
"MEC All Day Essentials Boxer Briefs 3"" - Men's",MEC,24.95,0,5,2,clothing,2020-10-17
Level Six Jericho Long Sleeve Neoprene Rashguard - Men's,Level Six,99.95,0,5,1,clothing,2020-10-17
Prana Rockland Pants - Men's,Prana,57.94,50,5,4,clothing,2020-10-17
MEC Cold Rush Thermal Run Tights - Men's,MEC,84.95,0,5,1,clothing,2020-10-17
Patagonia Fitz Roy Bear Trucker Hat - Men's,Patagonia,45,0,5,1,clothing,2020-10-17
"DU/ER Performance Denim Slim Pants (30"" Inseam) - Men's",DU/ER,138.95,0,3.3,7,clothing,2020-10-17
MEC Chilcotins Short Sleeve Utility Shirt - Men's,MEC,30.94,61,0,0,clothing,2020-10-17
DU/ER Performance Denim Slim - Men's,DU/ER,138.95,0,0,0,clothing,2020-10-17
"Prana Bridger Jeans 30"" Inseam - Men's",Prana,87.97,20,4,2,clothing,2020-10-17
The North Face Paramount Active Pants - Men's,The North Face,39.93,56,4.1,7,clothing,2020-10-17
The North Face Dome Climb Short Sleeve T-Shirt - Men's,The North Face,27.97,20,5,1,clothing,2020-10-17
Arc'teryx Arc'word Short Sleeve T-Shirt - Men's,Arc'teryx,44.95,0,4.5,22,clothing,2020-10-17
Smartwool Smartloft 120 Jacket - Men's,Smartwool,153.57,36,0,0,clothing,2020-10-17
MEC Mochilero Stretch Lined Pants - Men's,MEC,119.95,0,0,0,clothing,2020-10-17
Fjallraven Fjallraven Logo Short Sleeve T-Shirt - Men's,Fjallraven,49.95,0,0,0,clothing,2020-10-17
Tentree Elm Cotton Classic T-Shirt - Men's,Tentree,35.95,0,3,1,clothing,2020-10-17
"Patagonia Essential 6"" Boxer Briefs - Men's",Patagonia,39,0,5,1,clothing,2020-10-17
Fjallraven Abisko Trail Fleece - Men's,Fjallraven,179.95,0,0,0,clothing,2020-10-17
MEC Mochilero Stretch Lined Pants - Men's,MEC,60.93,49,4,6,clothing,2020-10-17
The North Face Thermoball Eco Jacket - Men's,The North Face,249.99,0,0,0,clothing,2020-10-17
Arc'teryx Nuclei FL Hoody - Men's,Arc'teryx,349.95,0,4.7,18,clothing,2020-10-17
Prana Super Mojo Shorts II - Men's,Prana,55.97,20,4,5,clothing,2020-10-17
Levis 502 Regular Taper Pants - Men's,Levis,99.95,0,5,1,clothing,2020-10-17
Karpos Tre Cime Pants - Men's,Karpos,79.94,50,0,0,clothing,2020-10-17
Fjallraven Abisko Midsummer Trousers - Men's,Fjallraven,179.95,0,3.5,2,clothing,2020-10-17
"Patagonia Snowshot Pants Regular 32""Inseam - Men's",Patagonia,174.3,30,4,1,clothing,2020-10-17
Patagonia Terrebonne Shorts - Men's,Patagonia,55.3,30,0,0,clothing,2020-10-17
Saxx Kinetic HD Boxer Brief - Men's,Saxx,39.95,0,0,0,clothing,2020-10-17
Patagonia Houdini Jacket - Men's,Patagonia,125,0,5,4,clothing,2020-10-17
Chaos Dylan Trapper Hat - Men's,Chaos,34.95,0,4.2,13,clothing,2020-10-17
Stance Polycam Crew Run Socks - Men's,Stance,19.94,31,0,0,clothing,2020-10-17
Auclair Run For Cover Gloves - Men's,Auclair,24.95,0,3,1,clothing,2020-10-17
Patagonia Light Storm Jacket - Men's,Patagonia,220.5,30,0,0,clothing,2020-10-17
Odlo Blackcomb Pro Crew Neck Short Sleeve - Men's,Odlo,35.93,55,5,1,clothing,2020-10-17
Prana Calder Long Sleeve Top - Men's,Prana,48.94,30,5,1,clothing,2020-10-17
The North Face Mountain Sweatshirt 3.0 Anorak - Men's,The North Face,86.93,49,0,0,clothing,2020-10-17
The North Face 1996 Retro Nuptse Vest - Men's,The North Face,249.99,0,0,0,clothing,2020-10-17
Patagonia Skyline Traveler Pants - Men's,Patagonia,149,0,0,0,clothing,2020-10-17
Arc'teryx Squamish Hoody - Men's,Arc'teryx,199.95,0,4.7,93,clothing,2020-10-17
BN3TH Classic Boxer Briefs (2 Pack) - Men's,BN3TH,64.95,0,3.3,3,clothing,2020-10-17
Houdini Heavenly Houdi Jacket - Men's,Houdini,199.93,50,0,0,clothing,2020-10-17
